index,257_1_www.whatsapp.com,257_2_www.whatsapp.com,257_3_www.whatsapp.com,257_4_www.whatsapp.com,257_5_www.whatsapp.com,257_6_www.whatsapp.com,257_7_www.whatsapp.com,257_8_www.whatsapp.com,257_9_www.whatsapp.com,257_10_www.whatsapp.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1330.8,1325.74,1355.76,1360.5,1338.3799999999999,1322.58,1343.1200000000001,1635.52,1350.4,1360.5
3,4039.4,4110.68,4045.3199999999997,4035.0,4083.16,4117.56,4072.84,3876.2,3876.2,4035.0
4,4184.64,4094.54,5441.48,5366.5,5010.3,4187.82,5155.08,4135.08,4104.08,5247.0
5,5136.16,4841.68,4239.679999999999,4084.0,4528.12,4590.56,4457.88,4506.28,4828.360000000001,6864.0
6,6350.8,6274.7,8510.199999999999,8424.0,6495.599999999995,5952.9,6226.6,5947.400000000001,6115.400000000001,9284.0
7,8265.36,8469.44,7980.24,7949.0,8298.52,8144.48,8446.88,7937.12,8105.12,13132.0
8,7620.920000000001,10563.399999999989,13597.119999999999,10998.0,13222.519999999999,8896.900000000001,12625.480000000001,7508.1999999999925,7676.1999999999925,12010.0
9,13541.52,13594.16,13316.04,21494.0,13146.400000000001,13320.720000000001,13338.599999999999,13219.04,13389.04,16196.0
10,13286.08,13506.78,32431.280000000002,32807.5,29736.479999999992,17574.759999999904,22947.28000000003,13021.24,13244.76,15638.5
11,20829.000000000004,33030.200000000004,32321.600000000002,31384.0,32617.600000000002,32678.4,32340.6,32508.4,31286.999999999993,21274.0
12,33406.44,31770.88,31113.16,30181.5,31041.58,31449.96,30992.56,30886.760000000002,32088.760000000002,20967.5
13,31920.640000000003,30485.04,30472.480000000003,31954.0,29945.52,30190.320000000003,30072.48,29923.44,30895.079999999998,40717.0
14,30682.359999999997,29898.08,35363.52,36981.0,31656.94,31584.54,33383.24,31386.2,29861.56,39293.5
15,32171.44,34024.43999999997,36357.56000000003,38111.0,36033.08,38377.4,38388.72,33275.6,31586.28,37870.0
16,34137.0,36425.4,38226.4,42316.0,40387.8,38142.7,42926.2,37416.8,35947.8,39373.5
17,38040.8,38616.96,42626.04,41952.0,39971.08,40279.32,42498.92,37404.32,37645.32,43793.0
18,40014.28,40463.22,42063.68,43250.5,42172.46,42250.700000000004,42527.16,39578.84,42483.84,45530.5
19,41097.48,42046.32,45347.72,48519.0,41475.36,41922.76,41183.439999999995,41763.44,42046.2,50256.0
20,42529.64,43923.74,46735.200000000026,48880.0,39877.599999999984,43580.18,42502.400000000016,40584.92,41419.92,50605.5
21,41333.2,44959.99999999998,53436.2,51957.0,52340.59999999999,46596.999999999985,53849.80000000001,40240.999999999985,42497.6,49856.0
22,42171.6,51339.76,54550.12000000001,56297.5,56525.18000000001,52127.92,58254.32,51916.76,46680.600000000006,50153.0
23,52643.68,51386.159999999996,54724.04,57256.0,57930.16,53812.67999999999,58095.12,52563.319999999985,52732.36,57041.0
24,52362.08,55263.12,57271.68,88622.0,57613.74,57950.04,57808.56,55369.24,55018.88000000001,62587.0
25,51511.12,55119.32,78377.28000000001,159932.0,56949.0,57372.44,57683.28,57409.56,56847.88,61810.0
26,54085.0,54541.5,128195.0,237623.0,124055.0,57193.5,57498.0,56504.0,57747.0,63295.0
27,57269.04,113049.36000000004,172760.56,283152.0,172201.31999999998,122956.5999999999,59496.84,87172.63999999993,57273.64,66236.0
28,93916.9999999999,165909.71999999962,209458.0400000001,284920.5,248017.63999999996,182486.27999999988,65826.64000000001,136015.55999999985,89993.91999999997,65472.5
29,126091.35999999997,220669.07999999964,265169.6000000003,286990.0,282802.84,230252.16000000003,78392.44,200293.6799999999,136061.83999999976,67493.0
30,186211.08000000002,271917.4399999997,283292.68,289747.0,284568.02,273562.5,112139.32,228827.96000000002,192877.28000000003,77560.0
31,254604.60000000003,282122.8,285289.2,316122.0,287842.2,284264.0,180475.4,253164.2000000001,264759.6000000001,151462.0
32,284625.16,283353.19999999995,287594.36,383003.0,290935.98,312546.39999999997,247980.68,282425.04,284722.28,210849.0
33,284710.92,284391.24,290122.56,450214.0,292249.16,329659.8399999998,285015.64,284269.56,284465.2,276076.0
34,287258.0,286889.86,305103.92000000004,519775.0,295041.64,408486.48,287163.80000000005,286705.92,287010.44,293881.0
35,289725.4,313431.72,315561.96,611288.0,297495.32,460736.63999999996,335817.12000000017,288826.63999999996,289266.2,294405.0
36,314467.5999999999,353025.79999999993,351427.4,672440.5,296767.8,483242.2,408706.80000000016,288439.8,311087.2,297214.5
37,388516.36000000004,414638.27999999997,420958.20000000007,741399.0,296005.92,507014.39999999997,480430.0,287723.8,385383.08000000013,299551.0
38,452538.12000000017,480639.32,477517.44,760017.0,312861.63999999996,556595.24,538964.8800000002,311722.16000000003,477621.36000000004,305420.0
