index,254_1_www.whatsapp.com,254_2_www.whatsapp.com,254_3_www.whatsapp.com,254_4_www.whatsapp.com,254_5_www.whatsapp.com,254_6_www.whatsapp.com,254_7_www.whatsapp.com,254_8_www.whatsapp.com,254_9_www.whatsapp.com,254_10_www.whatsapp.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1493.56,1531.78,1442.66,1472.68,1484.46,1458.46,1524.5,1320.800000000001,1533.6,1526.32
3,3739.52,4129.52,3601.68,3560.64,3622.3200000000006,3580.08,4138.0,5375.92,4127.4,4135.88
4,4663.36,4570.26,5041.38,4914.68,4716.26,5077.96,4315.5,6683.619999999999,4375.2,4651.44
5,8550.56,8440.52,6036.64,8469.72,8468.960000000001,6182.84,8286.0,10022.960000000005,8220.4,8596.880000000001
6,7635.800000000001,11472.999999999996,8356.7,8025.6,7855.299999999997,8089.699999999999,9729.0,12590.300000000001,11479.0,10950.999999999989
7,13445.32,13292.2,12462.08,13554.52,13287.08,13570.16,13119.0,15266.239999999998,13487.0,13843.64
8,30572.32000000002,34610.08,13415.0,18776.15999999999,31266.320000000003,13351.26,35094.5,21352.64,34255.4,21745.800000000003
9,33246.96,32450.52,34800.68,33903.64,33743.64,26352.400000000005,33427.0,41752.159999999996,32465.2,34097.84
10,31678.920000000002,33370.72,35841.3,32265.04,32003.46,33542.880000000005,31701.0,40608.16000000001,33515.6,32614.32
11,34646.599999999984,39251.799999999996,34692.6,33386.8,33457.4,31857.600000000002,35562.0,43338.6,37615.0,35836.200000000004
12,37399.04,39413.02,36186.7,37433.92,37514.14,35454.64,39653.5,52328.04,46049.799999999996,37863.6
13,39197.12,43999.840000000004,38275.68000000001,39573.639999999985,41435.52,37473.52,44234.0,51780.72,45212.200000000004,42867.83999999999
14,43212.32,45592.14,41571.1,41510.8,43669.28,39317.98,46073.0,54869.020000000004,44443.2,45101.8
15,44499.63999999999,43460.40000000001,45440.56,45292.68,44826.24,44045.8,44592.0,59470.44,49648.4,43237.12
16,50232.000000000015,53703.2,45167.9,49583.8,46644.000000000015,44093.9,51998.5,58572.6,58480.0,52994.2
17,55957.72,57512.28,47688.64,48755.72,55536.040000000015,44559.80000000001,56682.0,62664.24,57879.2,54824.240000000005
