index,202_1_ewebdevelopment.com,202_2_ewebdevelopment.com,202_3_ewebdevelopment.com,202_4_ewebdevelopment.com,202_5_ewebdevelopment.com,202_6_ewebdevelopment.com,202_7_ewebdevelopment.com,202_8_ewebdevelopment.com,202_9_ewebdevelopment.com,202_10_ewebdevelopment.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-535.3599999999999,235.0799999999998,-36.84000000000049,-444.7199999999998,-444.7199999999998,597.6400000000001,1232.1199999999997,416.3599999999999,1277.4399999999996,1614.84
3,1327.32,1381.04,1362.08,1333.64,1333.64,1406.32,1450.56,1393.68,1453.72,1540.8799999999999
4,1505.3199999999995,1320.800000000001,1149.5800000000004,1440.6399999999999,1440.6399999999999,2314.4000000000024,3570.199999999999,1817.599999999998,3631.3999999999996,4032.84
5,4107.24,3978.84,4030.6800000000003,4093.48,4093.48,3875.64,3590.88,3944.28,3586.56,4118.92
6,3595.2,4079.399999999999,3727.7999999999984,3584.4,3584.4,4131.9,5032.2,4122.1,4416.799999999999,4966.900000000001
7,4097.72,5309.92,4925.919999999998,4110.44,4110.44,4840.76,4946.08,5059.64,5211.72,4321.72
8,5331.96,4769.88,5222.18,5124.919999999999,5301.919999999999,4268.22,4045.3200000000006,4343.54,4264.84,5713.0199999999995
9,4692.24,4104.6399999999985,4583.4400000000005,4471.48,4648.48,5951.5199999999995,5718.24,5333.879999999999,7578.519999999998,8089.88
10,4991.759999999998,5775.18,6266.240000000002,5696.519999999998,5873.519999999998,7742.759999999998,8054.0199999999995,5611.06,8341.24,8659.42
11,5935.599999999999,8106.8,8352.4,5856.2,6033.2,8339.599999999999,8690.2,7918.400000000001,8958.4,10290.4
12,8295.44,8743.32,8456.94,8151.88,8328.88,8310.58,8090.319999999991,8146.54,8861.83999999999,10226.34
13,8646.720000000001,8451.44,8915.84,8770.44,8947.44,10237.48,10058.36,8350.76,10350.32,14883.800000000001
14,8722.64,10309.44,9192.079999999989,8450.96,8627.96,10113.82,11068.199999999993,8688.839999999998,11879.400000000003,14522.58
15,9543.960000000005,10247.12,10328.56,10421.119999999999,10598.119999999999,13559.600000000008,14605.320000000002,8394.56,14782.84,16347.76
16,10269.4,14121.999999999985,10041.900000000001,10205.800000000001,10382.800000000001,14424.9,25434.0,10267.4,20787.799999999945,18330.1
17,10126.039999999999,14523.92,15151.6,10400.600000000002,10577.600000000002,20859.320000000007,24696.88,10205.76,24990.56,28229.759999999995
18,15161.36,18841.480000000007,15046.800000000001,14961.6,15138.6,24740.82,24279.3,14468.2,24569.88,29648.480000000003
19,14909.279999999999,25063.760000000002,25323.680000000004,14869.6,15055.6,24352.4,23951.600000000002,14548.720000000001,32942.600000000035,33340.68
20,22274.879999999983,24588.48,24786.84,25059.600000000002,25430.999999999996,29466.20000000002,32961.299999999996,19086.079999999973,56358.59999999995,32388.56
21,25018.4,24227.2,24434.4,24818.4,24836.6,46882.79999999999,48316.199999999975,24893.6,75271.4,31919.6
22,24678.56,30991.640000000018,28000.439999999948,24476.6,24499.28,63243.680000000044,75305.85999999999,24492.44,88984.52,42748.5
23,24360.36,48646.03999999999,69643.15999999997,24186.6,24248.6,80168.23999999999,99438.47999999995,25051.320000000036,90839.92,72856.95999999986
24,25687.24,74944.51999999999,94712.29999999999,46101.04000000005,39266.44000000003,89323.7,133199.32,48994.71999999998,107389.12,110298.63999999991
25,38288.48000000007,121309.72000000007,110458.51999999999,55125.200000000004,57248.6,107898.88,185418.07999999987,72437.91999999998,134547.19999999998,152269.95999999993
26,50437.0,167123.0,124869.0,89433.0,77816.0,147494.0,223421.0,90124.0,137846.0,194737.0
27,64538.44000000006,206070.11999999997,137970.9999999999,114087.8,91709.84,170960.96000000002,249178.9199999999,132018.07999999993,138144.52,249883.68000000005
28,90021.23999999998,238318.55999999985,159415.11999999994,128494.31999999995,113262.95999999995,203832.61999999997,299085.28,172122.52000000002,182087.07999999987,286326.9199999999
29,131305.24000000005,272842.28,197486.72,162160.28000000006,151442.44000000015,234199.7200000001,351235.9199999999,218201.75999999995,208173.11999999994,331629.11999999994
30,172371.15999999997,319041.11999999994,221510.85999999996,183095.3200000001,182050.76000000004,264042.16,385969.04,263700.28,231843.68,373090.72
31,208177.4,366782.1999999999,243263.79999999996,215111.80000000005,205415.0,297813.4,415447.19999999995,299043.6,247575.39999999985,401985.6
32,232040.75999999998,381255.22,275445.07999999996,240913.00000000003,229157.88000000006,334637.75999999995,417223.72000000003,335779.12000000005,281027.2399999999,403667.66
33,264601.56,401303.83999999997,296877.91999999987,271348.4,268042.76,370991.6,418314.96,366208.76,316984.75999999995,423471.27999999997
34,298053.72000000003,409466.63999999996,325743.48,303811.12,295804.44,400789.9800000001,420059.33999999997,394616.26,357846.24,426179.4
35,324889.72,410260.68,364562.6799999999,329723.27999999997,302967.28,417013.64,420592.96,395502.24,412470.36000000004,428480.52
36,362949.4000000001,418456.3,396119.69999999995,359116.39999999997,304819.8,418894.4,421857.9,396083.9,424708.2,429523.3
37,406777.16,421130.52,417044.64,380117.6,304706.52,418838.04,421501.28,396866.2,426442.96,431340.16
38,417125.36,421325.82,418946.12,417036.48000000004,332969.0800000001,421425.5,423449.86,398616.34,426299.6,431403.62
39,417842.32,421437.56,418819.52,416658.64,374882.2800000001,421287.72000000003,423109.32,419065.48,429058.64,432863.84
40,418653.24,423316.32,420596.45999999996,418522.48,397905.76,422579.34,426675.92,421351.82,430024.12,434991.1
41,418534.6,423335.0,421182.8,418654.2,403157.20000000007,422048.8,430440.3999999999,422004.6,430976.6,454696.6
42,421373.96,423512.38,422200.04,421307.92,420352.72000000003,423858.06,470467.94000000006,423884.36,431681.76,485986.56
43,421371.56,425113.92,421925.56,421065.96,421298.12,423729.48,520028.87999999995,423820.12,431729.08,518234.68
44,422486.08,428764.12,423860.22,421887.16,421673.32,425766.66,537059.24,423118.56,433375.36,545003.04
45,421934.68,462538.39999999997,424069.16,422102.48,422477.64,427584.6,537531.9199999999,426975.64,439371.2799999999,544464.88
46,423842.2,494279.19999999995,425036.0,423989.6,423389.6,478925.60000000015,557042.2000000001,472271.3999999996,469066.7999999997,553496.5
47,424028.44,532214.7199999999,427095.8,423851.72,424034.72,522687.92000000004,584207.64,528417.7999999999,491825.39999999997,583953.08
48,425177.6,536902.64,427546.34,425002.19999999995,423820.36,537351.86,603452.44,537004.88,538263.0399999998,611215.86
49,427003.88,538446.76,427035.44,426726.36,425183.8,536872.76,603390.36,541347.1599999999,544818.92,612760.32
50,442821.6400000001,554029.8600000001,437688.51999999996,427447.2,427722.12,547806.2000000001,603355.32,554433.58,548554.76,612704.16
