,202_1_ewebdevelopment.com,202_2_ewebdevelopment.com,202_3_ewebdevelopment.com,202_4_ewebdevelopment.com,202_5_ewebdevelopment.com,202_6_ewebdevelopment.com,202_7_ewebdevelopment.com,202_8_ewebdevelopment.com,202_9_ewebdevelopment.com,202_10_ewebdevelopment.com,203_1_ewebdevelopment.com,203_2_ewebdevelopment.com,203_3_ewebdevelopment.com,203_4_ewebdevelopment.com,203_5_ewebdevelopment.com,203_6_ewebdevelopment.com,203_7_ewebdevelopment.com,203_8_ewebdevelopment.com,203_9_ewebdevelopment.com,203_10_ewebdevelopment.com,204_1_ewebdevelopment.com,204_2_ewebdevelopment.com,204_3_ewebdevelopment.com,204_6_ewebdevelopment.com,204_7_ewebdevelopment.com,204_8_ewebdevelopment.com,204_9_ewebdevelopment.com,204_10_ewebdevelopment.com,205_1_ewebdevelopment.com,205_2_ewebdevelopment.com,205_3_ewebdevelopment.com,205_4_ewebdevelopment.com,205_5_ewebdevelopment.com,205_6_ewebdevelopment.com,205_7_ewebdevelopment.com,205_8_ewebdevelopment.com,205_9_ewebdevelopment.com,205_10_ewebdevelopment.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,-535.3599999999999,235.0799999999998,-36.840000000000494,-444.71999999999986,-444.71999999999986,597.6400000000001,1232.1199999999994,416.35999999999984,1277.4399999999996,1614.84,1586.72,-222.06,-172.79999999999959,1611.88,1632.6,1611.88,1368.0799999999995,1600.04,1637.04,1458.7199999999998,1463.1,1521.9,1335.6999999999996,1561.1,1570.44,1556.2,1453.3,1521.9,1396.84,1611.88,1567.48,1556.2,1502.3,1567.48,1325.9,1574.88,1592.64,1507.2
2,1327.32,1381.04,1362.08,1333.64,1333.64,1406.32,1450.56,1393.68,1453.72,1540.88,1179.56,1746.12,1352.6,1548.16,1497.2,1548.16,1460.04,1526.88,1486.28,1466.36,2769.8,1776.1999999999991,3998.6000000000013,1113.799999999998,1095.6799999999996,1196.6,2935.4,1776.1999999999991,3935.64,1548.16,1052.5599999999997,1196.6,2107.399999999999,1052.5599999999997,4080.200000000001,1160.36,1419.0800000000006,2024.6000000000006
3,1505.3199999999995,1320.800000000001,1149.5800000000004,1440.64,1440.64,2314.4000000000024,3570.199999999999,1817.5999999999979,3631.4,4032.84,589.5600000000004,1529.22,1246.5999999999992,4019.88,4095.2,4019.88,3753.800000000001,3968.04,4110.68,3876.2,3704.3599999999988,3576.84,4094.54,3602.76,3663.78,3599.52,3774.68,3576.84,5416.32,4019.88,3625.26,3599.52,3563.88,3625.26,4015.840000000001,3721.56,3935.64,3567.12
4,4107.24,3978.84,4030.68,4093.48,4093.48,3875.64,3590.88,3944.28,3586.56,4118.92,4509.52,1642.8000000000006,4052.2,4110.44,3786.3999999999987,4141.44,3577.92,4275.84,3650.72,3569.28,5411.76,5216.04,4647.6799999999985,5613.12,5250.640000000002,5662.24,5176.88,5551.08,6060.44,4110.44,5524.440000000002,5587.24,5332.280000000002,5145.4000000000015,5068.44,5631.72,3094.080000000001,5367.44
5,3595.2,4079.3999999999987,3727.799999999999,3584.4,3584.4,4131.9,5032.2,4122.1,4416.799999999998,4966.9000000000015,4405.4,4117.6,3552.0,5120.3,5362.5,4962.0999999999985,4730.7999999999965,4542.6,5326.4000000000015,4903.600000000002,6981.9000000000015,4249.200000000002,5950.499999999999,4597.9,4674.899999999999,4661.8,4892.800000000002,4654.0999999999985,8258.0,5243.3,4649.299999999998,4586.8,4361.4000000000015,4237.299999999998,6171.400000000005,4836.8,2875.4,4418.5999999999985
6,4097.72,5309.92,4925.919999999998,4110.44,4110.44,4840.76,4946.08,5059.64,5211.72,4321.72,3984.2,3889.12,4371.600000000003,4452.04,4500.200000000002,4598.480000000001,5208.04,6050.24,4449.76,4910.3600000000015,9666.07999999999,8509.32,8032.56,6261.48,6324.2,8758.199999999999,8565.039999999999,6314.32,9044.199999999997,4575.04,6308.4,6249.96,8351.24,5896.4,8437.88,6471.4,4872.200000000002,8360.76
7,5331.96,4769.88,5222.18,5124.919999999999,5301.919999999999,4268.22,4045.320000000001,4343.54,4264.84,5713.02,14047.08,5414.62,4941.6,6176.14,6294.200000000002,6042.14,6900.64,8155.62,6266.4,5098.039999999994,10571.18,8444.66,8047.300000000007,8368.06,8443.899999999998,8433.12,8395.42,8433.539999999999,17728.2,6299.14,8418.3,8358.12,8289.78,8006.3,7972.26,8605.800000000001,7065.4000000000015,8297.72
8,4692.24,4104.6399999999985,4583.440000000001,4471.48,4648.48,5951.52,5718.24,5333.879999999999,7578.519999999998,8089.88,13509.56,5093.52,4335.4000000000015,8232.16,7997.799999999994,8098.16,6786.72,8041.12,8490.32,6155.44,12667.52,10204.399999999998,17595.52,8071.760000000002,8098.3200000000015,8039.519999999998,13664.6,8506.799999999996,28203.8,8355.16,8271.239999999998,7964.519999999998,9643.599999999997,7758.44,17981.68,8113.64,8107.92,9331.400000000003
9,4991.759999999998,5775.18,6266.2400000000025,5696.519999999998,5873.519999999998,7742.7599999999975,8054.019999999998,5611.06,8341.24,8659.42,15790.799999999996,4473.46,6199.8,7977.22,8282.1,7590.619999999999,5824.56,8307.099999999999,8385.76,8175.12,14165.9,17874.12,17429.6,18252.36,16502.600000000002,18279.72,17446.12,18016.24,28061.04,8100.22,17719.200000000026,18204.72,17763.84,17307.200000000026,17611.180000000004,14801.200000000004,8774.199999999995,17787.16
