,254_1_www.whatsapp.com,254_2_www.whatsapp.com,254_3_www.whatsapp.com,254_4_www.whatsapp.com,254_5_www.whatsapp.com,254_6_www.whatsapp.com,254_7_www.whatsapp.com,254_8_www.whatsapp.com,254_9_www.whatsapp.com,254_10_www.whatsapp.com,255_1_www.whatsapp.com,255_2_www.whatsapp.com,255_3_www.whatsapp.com,255_4_www.whatsapp.com,255_5_www.whatsapp.com,255_6_www.whatsapp.com,255_7_www.whatsapp.com,255_8_www.whatsapp.com,255_9_www.whatsapp.com,255_10_www.whatsapp.com,256_1_www.whatsapp.com,256_2_www.whatsapp.com,256_3_www.whatsapp.com,256_4_www.whatsapp.com,256_5_www.whatsapp.com,256_6_www.whatsapp.com,256_7_www.whatsapp.com,256_8_www.whatsapp.com,256_9_www.whatsapp.com,256_10_www.whatsapp.com,257_1_www.whatsapp.com,257_2_www.whatsapp.com,257_3_www.whatsapp.com,257_4_www.whatsapp.com,257_5_www.whatsapp.com,257_6_www.whatsapp.com,257_7_www.whatsapp.com,257_9_www.whatsapp.com,257_10_www.whatsapp.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,1493.56,1531.78,1442.66,1472.68,1484.46,1458.46,1524.5,1320.800000000001,1533.6,1526.32,1428.44,1509.94,1509.94,1474.26,1544.52,1419.0800000000006,1442.66,1447.4,1504.48,1491.74,1451.4199999999994,1455.3,1483.76,1591.7,1235.8200000000004,1505.3200000000006,1502.66,1475.84,1548.4400000000005,1469.52,1330.8,1325.74,1355.76,1360.5,1338.38,1322.58,1343.12,1350.4,1360.5
2,3739.52,4129.52,3601.68,3560.64,3622.320000000001,3580.08,4138.0,5375.92,4127.4,4135.88,3695.88,3950.48,3950.48,3558.48,4114.68,4114.68,3601.68,3595.2,3897.5199999999986,3716.0800000000013,4108.32,3584.4,4101.96,3601.68,4419.999999999998,4097.72,3856.72,3556.32,4186.76,3564.96,4039.4,4110.68,4045.32,4035.0,4083.16,4117.56,4072.84,3876.2,4035.0
3,4663.36,4570.26,5041.38,4914.68,4716.26,5077.96,4315.5,6683.619999999999,4375.2,4651.44,4987.92,4252.98,4218.98,4966.76,4126.879999999998,4294.120000000002,3299.34,5064.2,6675.439999999991,4766.94,5540.560000000009,5135.799999999998,5204.680000000001,4998.38,6727.94,4852.759999999998,4300.459999999999,4855.84,4694.9199999999955,4681.52,4184.64,4094.54,5441.48,5366.5,5010.3,4187.82,5155.08,4104.08,5247.0
4,8550.56,8440.52,6036.64,8469.72,8468.960000000001,6182.84,8286.0,10022.960000000003,8220.4,8596.880000000001,6157.84,8318.36,8284.36,8551.04,7898.6799999999985,8385.48,6059.64,6935.399999999998,10250.68,8627.24,8257.52,6182.2,8310.56,5993.64,8196.679999999993,8217.92,8316.04,8469.36,8578.64,8178.08,5136.16,4841.68,4239.6799999999985,4084.0,4528.12,4590.56,4457.88,4828.3600000000015,6864.0
5,7635.800000000001,11472.999999999995,8356.7,8025.6,7855.299999999997,8089.699999999999,9729.0,12590.3,11479.0,10950.999999999987,8277.2,8743.000000000005,8709.000000000005,8298.699999999999,11894.8,13065.6,8379.7,8389.0,13033.8,7772.699999999999,13492.4,8209.5,12447.6,8313.7,11506.39999999999,13527.4,9715.3,8030.8,12818.4,8106.4000000000015,6350.8,6274.7,8510.199999999999,8424.0,6495.599999999995,5952.9,6226.6,6115.4000000000015,9284.0
6,13445.32,13292.2,12462.08,13554.52,13287.08,13570.16,13119.0,15266.239999999998,13487.0,13843.64,11876.24,13141.88,13043.96,13570.88,12964.04,15146.599999999982,13614.36,13566.4,13948.48,13198.76,31963.200000000044,13602.8,19182.320000000007,13549.36,12263.84,14738.399999999998,13081.84,13536.76,19430.199999999924,13281.28,8265.36,8469.44,7980.24,7949.0,8298.52,8144.48,8446.88,8105.12,13132.0
7,30572.320000000018,34610.08,13415.0,18776.15999999999,31266.320000000003,13351.26,35094.5,21352.64,34255.4,21745.800000000007,13531.24,29898.55999999996,35011.62,20885.040000000048,34624.96,34342.72,13226.66,13328.4,16228.36,30144.240000000034,33841.78,13380.3,34315.84,13450.66,21156.84,34636.880000000005,34964.1,23060.27999999999,34854.96,13846.039999999983,7620.920000000001,10563.399999999987,13597.12,10998.0,13222.52,8896.900000000001,12625.48,7676.199999999992,12010.0
8,33246.96,32450.52,34800.68,33903.64,33743.64,26352.400000000005,33427.0,41752.16,32465.2,34097.84,35464.12,33613.04,33202.96,34456.48,32758.24,32474.76,34934.68,35170.2,21353.36,34023.84,34833.24,34601.2,32814.04,35663.68,43430.23999999996,32717.72,34123.92,34779.32,33104.68,35287.72,13541.52,13594.16,13316.04,21494.0,13146.4,13320.72,13338.6,13389.04,16196.0
9,31678.92,33370.72,35841.3,32265.04,32003.46,33542.880000000005,31701.0,40608.16000000002,33515.6,32614.32,33789.32,32117.96000000001,31696.96000000001,32712.22,32295.68000000001,35168.319999999985,33393.14,33442.200000000004,32658.359999999986,32440.82,36020.9,33196.4,37147.039999999986,34122.14,41598.06,34424.28,32614.66,32971.52,36998.8,33356.56,13286.08,13506.78,32431.28,32807.5,29736.47999999999,17574.759999999904,22947.280000000028,13244.76,15638.5
10,34646.599999999984,39251.8,34692.6,33386.8,33457.4,31857.6,35562.0,43338.6,37615.0,35836.200000000004,32306.4,36976.400000000016,35644.6,33810.0,37511.2,40248.8,32679.40000000001,34191.0,42071.4,34915.400000000016,42349.8,34349.0,42423.6,32541.6,42444.0,38389.8,36624.6,34262.4,40925.6,34727.2,20829.000000000004,33030.200000000004,32321.6,31384.0,32617.6,32678.4,32340.6,31286.999999999996,21274.0
11,37399.04,39413.02,36186.7,37433.92,37514.14,35454.64,39653.5,52328.04,46049.8,37863.6,36244.360000000015,39703.46,41865.7,37876.7,39489.6,44524.32,35725.039999999986,34897.599999999984,40468.44,39284.640000000014,44723.92,37413.2,44832.76,36454.039999999986,46227.78,42530.28,42192.76,38311.24,45536.76,37457.87999999998,33406.44,31770.88,31113.16,30181.5,31041.58,31449.96,30992.56,32088.76,20967.5
12,39197.12,43999.84,38275.680000000015,39573.63999999999,41435.52,37473.52,44234.0,51780.72,45212.2,42867.83999999998,38146.28,42072.32,41486.32,40612.48,41256.56,44820.76,38605.680000000015,40052.0,42754.759999999966,42539.68,44477.24,42097.6,44033.12,39463.680000000015,50236.76,45230.8,44861.48,42628.52,46874.28000000001,37826.24,31920.640000000007,30485.04,30472.480000000003,31954.0,29945.52,30190.320000000003,30072.48,30895.08,40717.0
13,43212.32,45592.14,41571.1,41510.8,43669.28,39317.98,46073.0,54869.02,44443.2,45101.8,42251.4,44193.62,46074.24,43918.38,45044.76,43151.79999999997,41895.58,39925.8,47868.2,44519.78,47826.20000000002,44262.9,44433.6,42950.319999999985,52229.74,45757.19999999998,44814.18,44569.92,45878.39999999997,42050.2,30682.36,29898.08,35363.52,36981.0,31656.94,31584.54,33383.24,29861.56,39293.5
14,44499.63999999999,43460.400000000016,45440.56,45292.68,44826.24,44045.8,44592.0,59470.44,49648.4,43237.12,44304.04,44676.16,47703.19999999998,45972.76,44423.60000000003,58315.87999999999,44992.2,43746.4,50093.71999999997,44023.56,58390.12000000001,44064.8,59019.12000000001,44453.24,55161.88,54693.56,42882.04,46452.84,55957.56,44213.28,32171.44,34024.43999999997,36357.56000000003,38111.0,36033.08,38377.4,38388.72,31586.28,37870.0
